TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,SR_authorized_actions-action_details-resource_details-arn-arn_variables,BC_operation_name,BC_input_shape_name,BC_member_name,BC_is_required,BC_member_shape_name,BC_member_shape_type,TF_successful_arn_variable_match
codegurureviewer,aws_codegurureviewer_repository_association,Repository Association,0,0,1,2,1,AssociateRepository,/Users/hbwei/terraform-provider-aws/internal/service/codegurureviewer/repository_association.go,codeguru-reviewer,codeguru-reviewer:AssociateRepository,codeguru-reviewer:AssociateRepository,,,,,,,,,,false
securityhub,aws_securityhub_organization_admin_account,Organization Admin Account,0,0,1,2,1,EnableOrganizationAdminAccount,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/organization_admin_account.go,securityhub,securityhub:EnableOrganizationAdminAccount,securityhub:EnableOrganizationAdminAccount,hub,arn:${Partition}:securityhub:${Region}:${Account}:hub/default,,,,,,,,false
guardduty,aws_guardduty_threatintelset,Threat Intel Set,0,0,1,2,1,CreateThreatIntelSet,/Users/hbwei/terraform-provider-aws/internal/service/guardduty/threatintelset.go,guardduty,guardduty:CreateThreatIntelSet,guardduty:CreateThreatIntelSet,,,,,,,,,,false
firehose,aws_kinesis_firehose_delivery_stream,Delivery Stream,0,1,1,3,2,CreateDeliveryStream,/Users/hbwei/terraform-provider-aws/internal/service/firehose/delivery_stream.go,firehose,firehose:CreateDeliveryStream,firehose:CreateDeliveryStream,deliverystream,arn:${Partition}:firehose:${Region}:${Account}:deliverystream/${DeliveryStreamName},DeliveryStreamName,CreateDeliveryStream,CreateDeliveryStreamInput,DeliveryStreamName,true,DeliveryStreamName,string,true
cognitoidp,aws_cognito_resource_server,Resource Server,0,0,1,2,1,CreateResourceServer,/Users/hbwei/terraform-provider-aws/internal/service/cognitoidp/resource_server.go,cognito-idp,cognito-idp:CreateResourceServer,cognito-idp:CreateResourceServer,userpool,arn:${Partition}:cognito-idp:${Region}:${Account}:userpool/${UserPoolId},UserPoolId,CreateResourceServer,CreateResourceServerRequest,UserPoolId,true,UserPoolIdType,string,true
acm,aws_acm_certificate,Certificate,0,0,1,3,2,RequestCertificate,/Users/hbwei/terraform-provider-aws/internal/service/acm/certificate.go,acm,acm:RequestCertificate,acm:RequestCertificate,,,,,,,,,,false
ssmincidents,aws_ssmincidents_replication_set,Replication Set,0,0,1,2,1,CreateReplicationSet,/Users/hbwei/terraform-provider-aws/internal/service/ssmincidents/replication_set.go,ssm-incidents,ssm-incidents:CreateReplicationSet,ssm-incidents:CreateReplicationSet,,,,,,,,,,false
detective,aws_detective_graph,Graph,0,0,1,2,1,CreateGraph,/Users/hbwei/terraform-provider-aws/internal/service/detective/graph.go,detective,detective:CreateGraph,detective:CreateGraph,,,,,,,,,,false
redshift,aws_redshift_cluster_snapshot,Cluster Snapshot,0,0,1,2,1,CreateClusterSnapshot,/Users/hbwei/terraform-provider-aws/internal/service/redshift/cluster_snapshot.go,redshift,redshift:CreateClusterSnapshot,redshift:CreateClusterSnapshot,snapshot,arn:${Partition}:redshift:${Region}:${Account}:snapshot:${ClusterName}/${SnapshotName},ClusterName,,,,,,,false
redshift,aws_redshift_cluster_snapshot,Cluster Snapshot,0,0,1,2,1,CreateClusterSnapshot,/Users/hbwei/terraform-provider-aws/internal/service/redshift/cluster_snapshot.go,redshift,redshift:CreateClusterSnapshot,redshift:CreateClusterSnapshot,snapshot,arn:${Partition}:redshift:${Region}:${Account}:snapshot:${ClusterName}/${SnapshotName},SnapshotName,,,,,,,false
cloudfront,aws_cloudfront_function,Function,0,0,2,4,2,PublishFunction,/Users/hbwei/terraform-provider-aws/internal/service/cloudfront/function.go,cloudfront,cloudfront:PublishFunction,cloudfront:PublishFunction,function,arn:${Partition}:cloudfront::${Account}:function/${Name},Name,PublishFunction,PublishFunctionRequest,Name,true,FunctionName,string,true
