TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,BC_operation_name,BC_input_shape_name,BC_is_required,BC_total_arn_variable_count,BC_successful_arn_variable_count
ec2,aws_ec2_transit_gateway,Transit Gateway,0,1,1,3,2,CreateTransitGateway,/Users/hbwei/terraform-provider-aws/internal/service/ec2/transitgateway_.go,ec2,ec2:CreateTransitGateway,ec2:CreateTransitGateway,transit-gateway,arn:${Partition}:ec2:${Region}:${Account}:transit-gateway/${TransitGatewayId},,,,1,0
storagegateway,aws_storagegateway_nfs_file_share,NFS File Share,0,0,1,2,1,CreateNFSFileShare,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/nfs_file_share.go,storagegateway,storagegateway:CreateNFSFileShare,storagegateway:CreateNFSFileShare,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},,,,1,0
ec2,aws_ebs_snapshot_copy,EBS Snapshot Copy,0,1,2,4,2,CopySnapshot,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_copy.go,ec2,ec2:CopySnapshot,ec2:CopySnapshot,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},,,,1,0
transfer,aws_transfer_ssh_key,SSH Key,0,0,1,2,1,ImportSshPublicKey,/Users/hbwei/terraform-provider-aws/internal/service/transfer/ssh_key.go,transfer,transfer:ImportSshPublicKey,transfer:ImportSshPublicKey,user,arn:${Partition}:transfer:${Region}:${Account}:user/${ServerId}/${UserName},ImportSshPublicKey,ImportSshPublicKeyRequest,true,2,2
ivschat,aws_ivschat_logging_configuration,Logging Configuration,0,0,1,2,1,CreateLoggingConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/ivschat/logging_configuration.go,ivschat,ivschat:CreateLoggingConfiguration,ivschat:CreateLoggingConfiguration,Logging-Configuration,arn:${Partition}:ivschat:${Region}:${Account}:logging-configuration/${ResourceId},,,,1,0
iot,aws_iot_topic_rule_destination,Topic Rule Destination,0,2,2,4,2,UpdateTopicRuleDestination,/Users/hbwei/terraform-provider-aws/internal/service/iot/topic_rule_destination.go,iot,iot:UpdateTopicRuleDestination,iot:UpdateTopicRuleDestination,destination,arn:${Partition}:iot:${Region}:${Account}:ruledestination/${DestinationType}/${Uuid},,,,2,0
evidently,aws_evidently_launch,Launch,0,0,1,2,1,CreateLaunch,/Users/hbwei/terraform-provider-aws/internal/service/evidently/launch.go,evidently,evidently:CreateLaunch,evidently:CreateLaunch,,,,,,0,0
sagemaker,aws_sagemaker_monitoring_schedule,Monitoring Schedule,0,0,1,2,1,CreateMonitoringSchedule,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/monitoring_schedule.go,sagemaker,sagemaker:CreateMonitoringSchedule,sagemaker:CreateMonitoringSchedule,monitoring-schedule,arn:${Partition}:sagemaker:${Region}:${Account}:monitoring-schedule/${MonitoringScheduleName},CreateMonitoringSchedule,CreateMonitoringScheduleRequest,true,1,1
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,SuspendProcesses,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:SuspendProcesses,autoscaling:SuspendProcesses,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},,,,2,0
ec2,aws_ebs_snapshot_import,EBS Snapshot Import,0,1,2,5,2,ModifySnapshotTier,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_import.go,ec2,ec2:ModifySnapshotTier,ec2:ModifySnapshotTier,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},ModifySnapshotTier,ModifySnapshotTierRequest,true,1,1
xray,aws_xray_group,Group,0,0,1,2,1,CreateGroup,/Users/hbwei/terraform-provider-aws/internal/service/xray/group.go,xray,xray:CreateGroup,xray:CreateGroup,group,arn:${Partition}:xray:${Region}:${Account}:group/${GroupName}/${Id},CreateGroup,CreateGroupRequest,true,1,1
dax,aws_dax_parameter_group,Parameter Group,0,0,3,4,1,CreateParameterGroup,/Users/hbwei/terraform-provider-aws/internal/service/dax/parameter_group.go,dax,dax:CreateParameterGroup,dax:CreateParameterGroup,,,,,,0,0
iam,aws_iam_policy,Policy,0,0,2,3,1,CreatePolicy,/Users/hbwei/terraform-provider-aws/internal/service/iam/policy.go,iam,iam:CreatePolicy,iam:CreatePolicy,policy,arn:${Partition}:iam::${Account}:policy/${PolicyNameWithPath},,,,1,0
lightsail,aws_lightsail_bucket_access_key,Bucket Access Key,0,0,2,3,1,CreateBucketAccessKey,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/bucket_access_key.go,lightsail,lightsail:CreateBucketAccessKey,lightsail:CreateBucketAccessKey,Bucket,arn:${Partition}:lightsail:${Region}:${Account}:Bucket/${Id},,,,1,0
iot,aws_iot_certificate,Certificate,0,0,1,5,4,CreateCertificateFromCsr,/Users/hbwei/terraform-provider-aws/internal/service/iot/certificate.go,iot,iot:CreateCertificateFromCsr,iot:CreateCertificateFromCsr,,,,,,0,0
licensemanager,aws_licensemanager_association,Association,0,0,1,2,1,UpdateLicenseSpecificationsForResource,/Users/hbwei/terraform-provider-aws/internal/service/licensemanager/association.go,license-manager,license-manager:UpdateLicenseSpecificationsForResource,license-manager:UpdateLicenseSpecificationsForResource,license-configuration,arn:${Partition}:license-manager:${Region}:${Account}:license-configuration:${LicenseConfigurationId},,,,1,0
ssm,aws_ssm_parameter,Parameter,0,0,2,3,1,PutParameter,/Users/hbwei/terraform-provider-aws/internal/service/ssm/parameter.go,ssm,ssm:PutParameter,ssm:PutParameter,parameter,arn:${Partition}:ssm:${Region}:${Account}:parameter/${ParameterNameWithoutLeadingSlash},,,,1,0
workspaces,aws_workspaces_directory,Directory,0,1,1,8,7,ModifyWorkspaceAccessProperties,/Users/hbwei/terraform-provider-aws/internal/service/workspaces/directory.go,workspaces,workspaces:ModifyWorkspaceAccessProperties,workspaces:ModifyWorkspaceAccessProperties,directoryid,arn:${Partition}:workspaces:${Region}:${Account}:directory/${DirectoryId},,,,1,0
rolesanywhere,aws_rolesanywhere_trust_anchor,Trust Anchor,0,0,1,2,1,CreateTrustAnchor,/Users/hbwei/terraform-provider-aws/internal/service/rolesanywhere/trust_anchor.go,rolesanywhere,rolesanywhere:CreateTrustAnchor,rolesanywhere:CreateTrustAnchor,,,,,,0,0
apprunner,aws_apprunner_vpc_connector,VPC Connector,0,0,1,2,1,CreateVpcConnector,/Users/hbwei/terraform-provider-aws/internal/service/apprunner/vpc_connector.go,apprunner,apprunner:CreateVpcConnector,apprunner:CreateVpcConnector,vpcconnector,arn:${Partition}:apprunner:${Region}:${Account}:vpcconnector/${VpcConnectorName}/${VpcConnectorVersion}/${VpcConnectorId},,,,2,0
networkmanager,aws_networkmanager_device,Device,0,0,1,2,1,CreateDevice,/Users/hbwei/terraform-provider-aws/internal/service/networkmanager/device.go,networkmanager,networkmanager:CreateDevice,networkmanager:CreateDevice,global-network,arn:${Partition}:networkmanager::${Account}:global-network/${ResourceId},,,,1,0
cloudformation,aws_cloudformation_stack,Stack,0,0,3,4,1,CreateStack,/Users/hbwei/terraform-provider-aws/internal/service/cloudformation/stack.go,cloudformation,cloudformation:CreateStack,cloudformation:CreateStack,stack,arn:${Partition}:cloudformation:${Region}:${Account}:stack/${StackName}/${Id},CreateStack,CreateStackInput,true,1,1
glue,aws_glue_registry,Registry,0,0,1,2,1,CreateRegistry,/Users/hbwei/terraform-provider-aws/internal/service/glue/registry.go,glue,glue:CreateRegistry,glue:CreateRegistry,registry,arn:${Partition}:glue:${Region}:${Account}:registry/${RegistryName},CreateRegistry,CreateRegistryInput,true,1,1
guardduty,aws_guardduty_detector,Detector,0,0,1,2,1,CreateDetector,/Users/hbwei/terraform-provider-aws/internal/service/guardduty/detector.go,guardduty,guardduty:CreateDetector,guardduty:CreateDetector,,,,,,0,0
sagemaker,aws_sagemaker_servicecatalog_portfolio_status,Servicecatalog Portfolio Status,0,0,1,3,2,EnableSagemakerServicecatalogPortfolio,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/servicecatalog_portfolio_status.go,sagemaker,sagemaker:EnableSagemakerServicecatalogPortfolio,sagemaker:EnableSagemakerServicecatalogPortfolio,,,,,,0,0
emrserverless,aws_emrserverless_application,Application,0,0,1,2,1,CreateApplication,/Users/hbwei/terraform-provider-aws/internal/service/emrserverless/application.go,emr-serverless,emr-serverless:CreateApplication,emr-serverless:CreateApplication,,,,,,0,0
connect,aws_connect_user_hierarchy_group,User Hierarchy Group,0,0,1,2,1,CreateUserHierarchyGroup,/Users/hbwei/terraform-provider-aws/internal/service/connect/user_hierarchy_group.go,connect,connect:CreateUserHierarchyGroup,connect:CreateUserHierarchyGroup,hierarchy-group,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/agent-group/${HierarchyGroupId},CreateUserHierarchyGroup,CreateUserHierarchyGroupRequest,true,1,1
secretsmanager,aws_secretsmanager_secret_rotation,Secret Rotation,0,0,1,2,1,RotateSecret,/Users/hbwei/terraform-provider-aws/internal/service/secretsmanager/secret_rotation.go,secretsmanager,secretsmanager:RotateSecret,secretsmanager:RotateSecret,Secret,arn:${Partition}:secretsmanager:${Region}:${Account}:secret:${SecretId},RotateSecret,RotateSecretRequest,true,1,1
organizations,aws_organizations_organization,Organization,0,0,6,7,1,CreateOrganization,/Users/hbwei/terraform-provider-aws/internal/service/organizations/organization.go,organizations,organizations:CreateOrganization,organizations:CreateOrganization,,,,,,0,0
dynamodb,aws_dynamodb_table_export,Table Export,0,0,1,2,1,ExportTableToPointInTime,/Users/hbwei/terraform-provider-aws/internal/service/dynamodb/table_export.go,dynamodb,dynamodb:ExportTableToPointInTime,dynamodb:ExportTableToPointInTime,table,arn:${Partition}:dynamodb:${Region}:${Account}:table/${TableName},,,,1,0
connect,aws_connect_contact_flow,Contact Flow,0,0,1,2,1,CreateContactFlow,/Users/hbwei/terraform-provider-aws/internal/service/connect/contact_flow.go,connect,connect:CreateContactFlow,connect:CreateContactFlow,contact-flow,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/contact-flow/${ContactFlowId},CreateContactFlow,CreateContactFlowRequest,true,1,1
s3,aws_s3_bucket_replication_configuration,Bucket Replication Configuration,0,0,1,2,1,PutBucketReplication,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_replication_configuration.go,s3,s3:PutBucketReplication,s3:PutReplicationConfiguration,bucket,arn:${Partition}:s3:::${BucketName},,,,2,0
rds,aws_db_instance,DB Instance,1,1,1,8,6,RebootDBInstance,/Users/hbwei/terraform-provider-aws/internal/service/rds/instance.go,rds,rds:RebootDBInstance,rds:RebootDBInstance,db,arn:${Partition}:rds:${Region}:${Account}:db:${DbInstanceName},,,,3,0
eks,aws_eks_fargate_profile,Fargate Profile,0,0,1,2,1,CreateFargateProfile,/Users/hbwei/terraform-provider-aws/internal/service/eks/fargate_profile.go,eks,eks:CreateFargateProfile,eks:CreateFargateProfile,cluster,arn:${Partition}:eks:${Region}:${Account}:cluster/${ClusterName},CreateFargateProfile,CreateFargateProfileRequest,true,1,1
ec2,aws_spot_datafeed_subscription,Spot Datafeed Subscription,0,0,1,2,1,CreateSpotDatafeedSubscription,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ec2_spot_datafeed_subscription.go,ec2,ec2:CreateSpotDatafeedSubscription,ec2:CreateSpotDatafeedSubscription,,,,,,0,0
sagemaker,aws_sagemaker_endpoint_configuration,Endpoint Configuration,0,0,1,2,1,CreateEndpointConfig,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/endpoint_configuration.go,sagemaker,sagemaker:CreateEndpointConfig,sagemaker:CreateEndpointConfig,endpoint-config,arn:${Partition}:sagemaker:${Region}:${Account}:endpoint-config/${EndpointConfigName},CreateEndpointConfig,CreateEndpointConfigInput,true,1,1
appsync,aws_appsync_api_key,API Key,0,0,1,2,1,CreateApiKey,/Users/hbwei/terraform-provider-aws/internal/service/appsync/api_key.go,appsync,appsync:CreateApiKey,appsync:CreateApiKey,,,,,,0,0
storagegateway,aws_storagegateway_smb_file_share,SMB File Share,0,0,1,2,1,CreateSMBFileShare,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/smb_file_share.go,storagegateway,storagegateway:CreateSMBFileShare,storagegateway:CreateSMBFileShare,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},,,,1,0
